B_Smiles,B_Index,S_Smiles,S_Index,ini_Smiles,ini_Index,sol_Smiles,sol_Index,sol_name,eqs
Cn1c([BH-]C#N)[n+](C)c2ccccc21,21,CC(C)(C)CC(C)(S)CC(C)(C)C,2013,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,Fc1ccccc1,3000,PhF,2.0
[BH2-]c1n(C)nc[n+]1C,16,COc1ccccc1S,2003,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,CN(C)C=O,3007,DMF,2.0
[BH2-][N+](C)(C)C,0,Sc1ccccc1Cl,2002,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CS(C)=O,3010,DMSO,2.0
[BH2-][N+](C)(C)C,0,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,CC#N,3003,CH3CN,3.0
[BH2-][N+](c1ccccc1)(c1ccccc1)c1ccccc1,3,SC1CCCCC1,2012,CC(C)(C)OOC(C)(C)C,4002,CN(C)C=O,3007,DMF,3.0
Cn1c([BH-]C#N)[n+](C)c2ccccc21,21,SC1CCCCC1,2012,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,Cc1ccccc1,3002,PhMe,1.5
Cn1c([BH-]C#N)[n+](C)c2ccccc21,21,SC1CCCCC1,2012,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CCOC(C)=O,3006,EA,2.0
[BH2-][N+](c1ccccc1)(c1ccccc1)c1ccccc1,3,SC1CCCCC1,2012,CC(C)(C#N)/N=N/C(C)(C)C#N,4000,C1COCCO1,3004,dioxane,2.5
[BH2-]c1n(C)cc[n+]1C,14,SC1CCCCC1,2012,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,C1COCCO1,3004,dioxane,3.0
[BH2-][n+]1ccc(N(C)C)cc1,6,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CN(C)C=O,3007,DMF,3.0
[BH2-]c1n(C)cc[n+]1C,14,COc1ccccc1S,2003,CC(C)(C)OOC(C)(C)C,4002,CS(C)=O,3010,DMSO,3.0
[BH2-]c1n(C)cc[n+]1C,14,COc1ccccc1S,2003,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CC#N,3003,CH3CN,1.5
Cn1c([BH-]C#N)[n+](C)c2ccccc21,21,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CS(C)=O,3010,DMSO,1.5
