iter	RMSE
0	25.6253314
1	25.57502175
2	25.50766416
3	25.44144034
4	25.37566809
5	25.3218804
6	25.2562531
7	25.20322946
8	25.13909797
9	25.08683094
10	25.03472776
11	24.98300281
12	24.91972323
13	24.85687914
14	24.7951404
15	24.74428744
16	24.70194303
17	24.65233162
18	24.59187786
19	24.53835371
20	24.47869375
21	24.41944976
22	24.36061947
23	24.3015224
24	24.24283799
25	24.18523336
26	24.14240689
27	24.08546432
28	24.02892267
29	23.97893705
30	23.93350178
31	23.87736324
32	23.82162095
33	23.77733064
34	23.7222495
35	23.6813359
36	23.62761164
37	23.59894643
38	23.55589494
39	23.5133573
40	23.47089028
41	23.42769102
42	23.37503047
43	23.33332625
44	23.28786948
45	23.2437241
46	23.1922396
47	23.14178974
48	23.09911982
49	23.05677697
50	23.0071334
51	22.95784861
52	22.90892052
53	22.86034705
54	22.81145916
55	22.76358831
56	22.7160659
57	22.67480623
58	22.63660077
59	22.58920291
60	22.54281076
61	22.4967582
62	22.45038223
63	22.40895284
64	22.36773788
65	22.32231959
66	22.27788813
67	22.2331311
68	22.20395246
69	22.16592436
70	22.13176682
71	22.08796396
72	22.04512931
73	22.01298036
74	21.97006591
75	21.92746995
76	21.89320594
77	21.86028695
78	21.81910578
79	21.77823245
80	21.73702707
81	21.70058768
82	21.66050481
83	21.62453092
84	21.58957528
85	21.55508727
86	21.52684061
87	21.49160023
88	21.45277299
89	21.41360528
90	21.37536238
91	21.34253124
92	21.30956936
93	21.27203927
94	21.2341704
95	21.20579847
96	21.16843361
97	21.131968
98	21.0951654
99	21.05864316
100	21.02239951
101	20.98703653
102	20.95634353
103	20.92887499
104	20.90196389
105	20.87204546
106	20.84523854
107	20.81922415
108	20.78466526
109	20.75900004
110	20.72543539
111	20.70140829
112	20.67142182
113	20.63795175
114	20.606953
115	20.58476412
116	20.56270349
117	20.53971188
118	20.51795302
119	20.4964529
120	20.46406457
121	20.43423281
122	20.40619441
123	20.37497489
124	20.34561908
125	20.31419786
126	20.28649527
127	20.25550502
128	20.2247567
129	20.19482058
130	20.16454777
131	20.14394814
132	20.11405012
133	20.0859568
134	20.06475983
135	20.04251592
136	20.01386338
137	19.98543685
138	19.96006455
139	19.93953332
140	19.91242005
141	19.88973274
142	19.86214729
143	19.83422091
144	19.8081633
145	19.78756728
146	19.76071437
147	19.734075
148	19.70709337
149	19.68856027
150	19.66192522
151	19.63550225
152	19.60983409
153	19.58437118
154	19.563324
155	19.53818483
156	19.51324716
157	19.48850955
158	19.46653213
159	19.44389178
160	19.41914544
161	19.40222123
162	19.37788221
163	19.35405851
164	19.32989078
165	19.30774918
166	19.28391459
167	19.26080053
168	19.23787348
169	19.21726495
170	19.20066902
171	19.17652045
172	19.15554616
173	19.13649152
174	19.11727448
175	19.10088497
176	19.0802935
177	19.06520733
178	19.04348227
179	19.02562184
180	19.00811177
181	18.98843791
182	18.96626073
183	18.94913103
184	18.93206355
185	18.92266452
186	18.89953108
187	18.88192548
188	18.86121316
189	18.84177982
190	18.8213692
191	18.79989572
192	18.78082334
193	18.7608076
194	18.74612884
195	18.72711606
196	18.71336504
197	18.69575434
198	18.67432756
199	18.66054144
200	18.64207562
201	18.62379788
202	18.60470443
203	18.58605874
204	18.56786717
205	18.54709845
206	18.52849469
207	18.50798851
208	18.4896269
209	18.46938001
210	18.45372454
211	18.43518336
212	18.41970279
213	18.40189185
214	18.38485381
215	18.36680152
216	18.34937985
217	18.33411048
218	18.31915471
219	18.30025938
220	18.28383342
221	18.26546496
222	18.25077046
223	18.231909
224	18.21304199
225	18.19647604
226	18.1809156
227	18.16663496
228	18.14957452
229	18.13799716
230	18.12687613
231	18.10939248
232	18.09569133
233	18.08347512
234	18.06630096
235	18.04786432
236	18.03726593
237	18.02562272
238	18.00728414
239	17.99208608
240	17.9773282
241	17.96205447
242	17.94830226
243	17.93096474
244	17.91939041
245	17.90203951
246	17.88564293
247	17.8679022
248	17.85700108
249	17.84797283
250	17.833938
251	17.82305367
252	17.8081252
253	17.79377011
254	17.78592712
255	17.77890458
256	17.76843196
257	17.75183991
258	17.73729556
259	17.7270921
260	17.71056041
261	17.69416849
262	17.68017325
263	17.66335745
264	17.65224109
265	17.64233286
266	17.63209439
267	17.61857652
268	17.60677169
269	17.59994263
270	17.58901485
271	17.57574426
272	17.56338623
273	17.54658741
274	17.53650249
275	17.52257841
276	17.50634752
277	17.49046893
278	17.47490819
279	17.45918035
280	17.44907451
281	17.43877468
282	17.42647195
283	17.41357768
284	17.3998643
285	17.38967374
286	17.37846396
287	17.36403291
288	17.3489471
289	17.33597011
290	17.32638778
291	17.31197673
292	17.29625287
293	17.28384736
294	17.27164309
295	17.26630448
296	17.25961795
297	17.24772978
298	17.23232186
299	17.21806716
300	17.20999209
301	17.19478915
302	17.1828142
303	17.17168805
304	17.16103637
305	17.14716393
306	17.13549497
307	17.12398836
308	17.11501798
309	17.10086065
310	17.08902066
311	17.07928531
312	17.07116171
313	17.05805745
314	17.05154398
315	17.04309351
316	17.03147813
317	17.0206236
318	17.01391094
319	17.00330944
320	16.99043938
321	16.98336007
322	16.96897108
323	16.95712158
324	16.94476127
325	16.93125462
326	16.91715286
327	16.90634109
328	16.89310853
329	16.87933518
330	16.86553192
331	16.85546859
332	16.84747413
333	16.83829311
334	16.82477197
335	16.8153608
336	16.80228597
337	16.79172677
338	16.78361229
339	16.77014548
340	16.76223293
341	16.7486663
342	16.74181692
343	16.73092878
344	16.72281155
345	16.71031688
346	16.70378966
347	16.69243212
348	16.67954289
349	16.66947754
350	16.66093612
351	16.64860649
352	16.63889267
353	16.62601025
354	16.61488679
355	16.60739583
356	16.5968662
357	16.58969451
358	16.58431015
359	16.57525913
360	16.5666572
361	16.55429268
362	16.54593646
363	16.53464632
364	16.52563953
365	16.51318266
366	16.49994415
367	16.49007496
368	16.48146922
369	16.47019527
370	16.46527324
371	16.45618496
372	16.44809912
373	16.43593746
374	16.42931364
375	16.42029206
376	16.41275468
377	16.40584408
378	16.39761367
379	16.38581277
380	16.37659209
381	16.36733028
382	16.3612212
383	16.35038414
384	16.34348141
385	16.33575981
386	16.32812468
387	16.32279231
388	16.31670144
389	16.31064479
390	16.29996571
391	16.29243159
392	16.28342135
393	16.27257418
394	16.26486117
395	16.25657957
396	16.25014963
397	16.24194286
398	16.23045961
