0,1
Ini_Bond_N_C,0.07558482613969275
S_BV_4A,0.08440362045428731
S_BV_2A,0.1462088600576935
Ini_HOMO-1,0.20970167088742048
S_HOMO,0.2745524970581242
Ini_dipole,0.3049402152017213
S_Charge_S,0.39591911990782247
Ini_LUMO,0.43810938846936964
S_G,0.49542890716185845
Ini_BV_2A,0.5424862979264784
S_HOMO-1,0.5533608467399352
Sol_LUMO,0.7081024039915528
B_LUMO+1_B,0.8436287740363516
Ini_BV_6A,0.8562217462471906
B_dipole,0.9371225414315338
S_dipole,1.0740678883657464
S_Bond_S_C,1.2326588531577714
S_Charge_C,1.3197630235860427
Ini_G,1.388344525462534
Ini_Charge_N,1.3908220293091818
Ini_Charge_C,1.4895138972314537
B_G,1.5702727950379889
B_eq,1.7264923212744598
Sol_HOMO,1.7267432081286875
B_LUMO_B,1.8847262533468867
Sol_G,1.8941772962875607
Sol_LUMO+1,2.0687465651601866
Ini_T,2.3177729748168105
B_HOMO,2.319335318831503
Ini_LUMO+1,2.836006642805699
Ini_HOMO,3.0318918257253524
Sol_x,3.5895008300144986
Sol_dipole,5.493159701007091
C_Cl C_Hirshfield_charge,9.613662336424857
C_Cl MinAromaticChargeDist,10.870414777789192
C_Cl C_charge,13.919393064410988
B_spin,20.376762156114484
