B_Smiles,B_Index,S_Smiles,S_Index,ini_Smiles,ini_Index,sol_Smiles,sol_Index,sol_name,eqs,Cl_Index,Cl_Atomid
[BH2-][n+]1cccc(OC)c1,12,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CC#N,3003,CH3CN,3.0,5002,17
[BH2-][n+]1cccc(OC)c1,12,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CC#N,3003,CH3CN,3.0,5002,17
[BH2-][n+]1cccc(OC)c1,12,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CC#N,3003,CH3CN,2.5,5002,17
[BH2-][n+]1cccc(OC)c1,12,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CC#N,3003,CH3CN,1.5,5002,17
[BH2-][n+]1cccc(OC)c1,12,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CC#N,3003,CH3CN,2.0,5002,17
[BH2-][n+]1cccc(OC)c1,12,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CC#N,3003,CH3CN,2.5,5002,17
[BH2-][n+]1cccc(OC)c1,12,Cc1cccc(C)c1S,2007,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CC#N,3003,CH3CN,1.5,5002,17
[BH2-][n+]1cccc(OC)c1,12,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)CC(C)(C#N)/N=N/C(C)(C#N)CC(C)C,4001,CC#N,3003,CH3CN,3.0,5002,17
[BH2-][n+]1cccc(OC)c1,12,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,O=C(OOC(=O)c1ccccc1)c1ccccc1,4005,CC#N,3003,CH3CN,1.5,5002,17
[BH2-][n+]1cccc(OC)c1,12,CC(C)c1cc(C(C)C)c(S)c(C(C)C)c1,2005,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,4008,CC#N,3003,CH3CN,3.0,5002,17
