B_Smiles,B_Index,S_Smiles,S_Index,ini_Smiles,ini_Index,sol_Smiles,sol_Index,sol_name,eqs,Cl_Index,Cl_Atomid
[BH2-][NH+](C)C,2,Cc1cccc(C)c1S,2007,CC(C)CC(C)(C#N)/N=N/C(C)(C#N)CC(C)C,4001,CCN 3_1 O,3018,,1.5,5002,17
C[N+](C)(C)[BH-]C#N,1,SC1CCCCC1,2012,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CN(C)C=O,3007,DMF,1.5,5002,17
[BH2-][N+](C)(C)C,0,Cc1cccc(C)c1S,2007,CC(C)CC(C)(C#N)/N=N/C(C)(C#N)CC(C)C,4001,CCN 3_1 O,3018,,1.5,5002,17
[BH2-][n+]1cccc(OC)c1,12,Cc1cccc(C)c1S,2007,CC(C)CC(C)(C#N)/N=N/C(C)(C#N)CC(C)C,4001,CCN 3_1 O,3018,,1.5,5002,17
[BH2-][n+]1ccc(N(C)C)cc1,6,Cc1cccc(C)c1S,2007,CC(=O)OOC(C)(C)C,4007,C1COCCO1,3004,dioxane,1.5,5002,17
[BH2-][n+]1cccc(OC)c1,12,Cc1cccc(C)c1S,2007,CC(C)CC(C)(C#N)/N=N/C(C)(C#N)CC(C)C,4001,C1COCCO1,3004,dioxane,1.5,5002,17
C[N+](C)(C)[BH-]C#N,1,COc1ccc(CS)cc1,2010,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CN(C)C=O,3007,DMF,1.5,5002,17
C[N+](C)(C)[BH-]C#N,1,COC(=O)CCS,2011,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CN(C)C=O,3007,DMF,1.5,5002,17
[BH2-][NH+](C)C,2,SC1CCCCC1,2012,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CN(C)C=O,3007,DMF,1.5,5002,17
Cn1c([BH-]C#N)[n+](C)c2ccccc21,21,SC1CCCCC1,2012,CC1CC(C)(C)CC(OOC(C)(C)C)(OOC(C)(C)C)C1,4003,CN(C)C=O,3007,DMF,1.5,5002,17
